ADDRESS,PRINCIPAL DUE, 
116 S RUBY ST ,7982.04, 
116 W ABBOTTSFORD AVE ,3916.75, 
11609 PROCTOR RD ,0, 
11616 HENDRIX TER ,9410.86, 
1167 S CLARION ST ,7324.34, 
117 E LIPPINCOTT ST ,714.06, 
117 E WISHART ST ,4046.25, 
119 E GOWEN AVE ,88052.56, 
119 E TIOGA ST ,4291.79, 
119 N 53RD ST ,3709.2, 
119 N MILLICK ST ,2347.03, 
11990 RENNARD ST ,18188.39, 
12 E SILVER ST ,1994.25, 
12 N 56TH ST ,7086.66, 
12 N 61ST ST ,614.3, 
12 N YEWDALL ST ,5694.42, 
120 E CHELTEN AVE ,166426.68, 
120 E CUMBERLAND ST ,2833.06, 
120 E ONTARIO ST ,2779.91, 
120 MEEHAN AVE ,7385.74, 
120 N REDFIELD ST ,1035.67, 
120 S CECIL ST ,819.73, 
120 W ASHMEAD ST ,7787.19, 
1200 W LEHIGH AVE ,4692.56, 
12000 AUDUBON AVE ,7958.08, 
1201 ADAMS AVE ,13021.81, 
1201 PETERS ST ,2931.03, 
1201 SANSOM ST ,86005.32, 
1201 W ERIE AVE ,12081.08, 
1201 W HILTON ST ,1409.49, 
12019 FARWELL RD ,15292.09, 
1203 S RUBY ST ,7622.35, 
1204 S 50TH ST ,12608.47, 
1205 S BUCKNELL ST ,1957.97, 
1206 S PEACH ST ,1791.31, 
1206 W VENANGO ST ,5130.96, 
1207 W WILLIAM ST ,1691.98, 
121 N HOBART ST ,3359.57, 
121 S 50TH ST ,0, 
121 S SALFORD ST ,2739.83, 
1210 W ERIE AVE ,5721.56, 
1211 W CAMBRIA ST ,151.4, 
1212 N ALLISON ST ,4257.78, 
1212 N RANDOLPH ST ,531.99, 
1213 N FRAZIER ST ,4112.53, 
1213 W VENANGO ST ,5778.78, 
1214 MIFFLIN ST ,735.14, 
1214 W ATLANTIC ST ,595.96, 
1216 N 55TH ST ,602.63, 
1217 S 52ND ST ,68.9, 
1217 S MILLICK ST ,15151.48, 
1217 S RUBY ST ,1678.94, 
1218 E VENANGO ST ,5204.27, 
1218 MIFFLIN ST ,735.14, 
1219 S 46TH ST ,2935.75, 
1219 W LEHIGH AVE ,1120.06, 
122 E ONTARIO ST ,2552.76, 
1220 N 50TH ST ,4054.98, 
1220 W BUTLER ST ,4741.88, 
1220 W ERIE AVE ,911.65, 
1220 W HAZZARD ST ,1822.71, 
1221 W RUSSELL ST ,2576.64, 
1222 S 52ND ST ,614.05, 
1222 S EDGEWOOD ST ,5558.22, 
1223 N 28TH ST ,4944.79, 
1223 W WINGOHOCKING ST ,11544.89, 
1224 S 18TH ST ,5954.39, 
1224 S JUNIPER ST ,40.23, 
1224 W OXFORD ST ,8269.73, 
1224 W RUSH ST ,2212.26, 
1225 N 25TH ST ,0, 
1225 N 54TH ST ,10067.96, 
1225 S 52ND ST ,595.32, 
1225 W BUTLER ST ,1785.29, 
1225 W ERIE AVE ,4670.31, 
1225 W TUCKER ST ,1023.61, 
1226 W VENANGO ST ,905.43, 
1227 S 52ND ST ,68.9, 
1227 W TIOGA ST ,3705.59, 
1228 S 47TH ST ,8909.41, 
1229 S MARKOE ST ,0, 
1229 VALLEY FORGE PL ,15042.11, 
1229 W HAROLD ST ,2500.69, 
1229 W HAZZARD ST ,3024.86, 
1229 W LEHIGH AVE ,1872.54, 
123 E LUZERNE ST ,141870.28, 
123 E WELLENS ST ,15084.06, 
123 E WISHART ST ,3231.5, 
123 N 52ND ST ,4123.72, 
123 N SICKELS ST ,4235.72, 
123 S 55TH ST ,9403.22, 
1230 S 52ND ST ,1135.07, 
1231 S BONSALL ST ,3836.35, 
1231 W LEHIGH AVE ,1957.13, 
1232 ALCOTT ST ,1512.69, 
1232 GREYLOCK ST ,4115.89, 
1232 N 50TH ST ,1462.02, 
1232 RISING SUN AVE ,6779.24, 
1232 W CAMBRIA ST ,1455.05, 
1233 N 50TH ST ,2192.31, 
1233 S 26TH ST ,0, 
1233 W AIRDRIE ST ,1233.48, 
1234 N 42ND ST ,2508.55, 
1234 N 60TH ST ,5619.34, 
1234 N ALLISON ST ,4457.8, 
1234 W HAZZARD ST ,1702.36, 
1234 W TUCKER ST ,1988.94, 
1235 GREYLOCK ST ,191.65, 
1235 N MYRTLEWOOD ST ,2511.64, 
1235 S 19TH ST ,7837.41, 
1235 W HAZZARD ST ,1501.57, 
1235 W SOMERSET ST ,2093.66, 
1236 N 52ND ST ,4765.83, 
1236 N ALLISON ST ,194.02, 
1236 S DOVER ST ,1791.93, 
1237 N HOLLYWOOD ST ,2435.89, 
1237 S 28TH ST ,2350.54, 
1237 S 32ND ST ,1783.31, 
1237 W HUNTINGDON ST ,1306.96, 
1238 N 52ND ST ,4959.54, 
1238 W AIRDRIE ST ,4046.48, 
1239 S 47TH ST ,17666.17, 
124 N 60TH ST ,4800.57, 
124 N SALFORD ST ,3257.38, 
124 S SALFORD ST ,3662.91, 
1240 N 55TH ST ,5446.47, 
1240 N 60TH ST ,4176.35, 
1240 W SERGEANT ST ,741.39, 
1241 N ALDEN ST ,304.8, 
1241 S 46TH ST ,212.89, 
1243 N 53RD ST ,10041.48, 
1243 N MYRTLEWOOD ST ,1532.56, 
1245 E CHELTEN AVE ,7789.74, 
1245 N DOVER ST ,0, 
1246 E STAFFORD ST ,6004.68, 
1246 N MYRTLEWOOD ST ,919.35, 
1247 N 17TH ST ,5038.06, 
1247 W HUNTINGDON ST ,1531.68, 
1249 N 30TH ST ,1862.67, 
125 N PEACH ST ,5567.23, 
1251 N NEWKIRK ST ,681.21, 
1251 S BONSALL ST ,295.03, 
1252 GREYLOCK ST ,3654.02, 
1253 E CHELTEN AVE ,6349.82, 
1253 S TAYLOR ST ,639.85, 
1255 S 50TH ST ,13629.04, 
1256 S RINGGOLD ST ,760.33, 
1261 S NEWKIRK ST ,0, 
1262 N ALDEN ST ,176.63, 
1262 S BUCKNELL ST ,1762.43, 
1263 S TAYLOR ST ,5921.07, 
1267 S 24TH ST ,2971.09, 
1271 S RINGGOLD ST ,1207.11, 
1273 S TAYLOR ST ,5899, 
12736 MINDEN RD ,5583.61, 
128 W LOGAN ST ,2163.69, 
13 S 53RD ST ,11327.97, 
13 SOLAR WAY ,1377.92, 
130 HANSBERRY ST ,1696.51, 
130 N LINDENWOOD ST ,3171.1, 
130 W CHELTEN AVE ,3883.02, 
130 W LOGAN ST ,2163.69, 
1300 S 24TH ST ,4061.34, 
1300 SELLERS ST ,2710.63, 
1300 W LYCOMING ST ,2254.73, 
1301 68TH AVE ,10847.86, 
1301 W SELTZER ST ,2524.08, 
1302 N 56TH ST ,6828.45, 
1302 S 54TH ST ,5881.05, 
1302 W SOMERSET ST ,1633.9, 
1303 N 52ND ST ,5230.99, 
1303 N ALDEN ST ,2527.2, 
1303 W RUSH ST ,897.19, 
1304 MOUNT VERNON ST ,0, 
1304 N 25TH ST ,4856.14, 
1304 W CLEMENTINE ST ,2018.66, 
1304 W WISHART ST ,559.38, 
1304 W WYOMING AVE ,3615.09, 
1306 N 27TH ST ,3284.64, 
1306 W WISHART ST ,2728.98, 
1307 N ALDEN ST ,7831.08, 
1308 CATHARINE ST ,4389.4, 
1308 N HOLLYWOOD ST ,1798.51, 
1308 W CLEMENTINE ST ,2708.31, 
1309 HANSON ST ,3044.15, 
1309 W CLEMENTINE ST ,1384.48, 
131 E GORGAS LN ,7917.23, 
1310 S RINGGOLD ST ,6416.26, 
1310 S RUBY ST ,5744.38, 
1310 W ERIE AVE ,674.86, 
1311 BAINBRIDGE ST ,2793.27, 
1311 DIVINITY ST ,3706.31, 
1311 S STANLEY ST ,1242.57, 
1312 DIVINITY ST ,0, 
1313 LAFAYETTE PL ,0, 
1313 N MYRTLEWOOD ST ,1236.27, 
1313 S BOUVIER ST ,781.58, 
1314 N 76TH ST ,1490.17, 
1314 N BROAD ST ,57228.42, 
1314 W CUMBERLAND ST ,3409.92, 
1315 KERBAUGH ST ,1467.53, 
1315 N 17TH ST ,1958.05, 
1315 W CLEMENTINE ST ,646.48, 
1317 S 49TH ST ,6490.52, 
1317 S 58TH ST ,2438.99, 
1317 S COLORADO ST ,0, 
1317 S DOVER ST ,170.3, 
1317 S JUNIPER ST ,10845.25, 
1317 W LIPPINCOTT ST ,2671.77, 
1317 W WISHART ST ,2671.77, 
1317 W WISHART ST ,4438.68, 
1318 E PRICE ST ,7089.58, 
1318 N 61ST ST ,2018.8, 
1318 S 57TH ST ,6003.02, 
1318 W CUMBERLAND ST ,26220.88, 
1318 W JEROME ST ,3669.22, 
1318 W WISHART ST ,1352.17, 
1319 SCHUYLKILL AVE ,1005.85, 
132 N PAXON ST ,10660.08, 
132 W CHELTEN AVE ,3883.02, 
1320 S MOLE ST ,2923.29, 
1321 N 17TH ST ,288.4, 
1321 S 31ST ST ,1008.94, 
1321 S 58TH ST ,5785.47, 
1321 W SOMERSET ST ,1516.65, 
1322 N 27TH ST ,4887.61, 
1322 N 50TH ST ,6182.72, 
1322 S 16TH ST ,2411.93, 
1322 W SOMERSET ST ,1274.27, 
1323 ELLSWORTH ST ,34.98, 
1323 N 19TH ST ,2148.21, 
1323 N 29TH ST ,5337.73, 
1323 N DOVER ST ,2189.46, 
1323 N MYRTLEWOOD ST ,2618.07, 
1323 S 58TH ST ,2310.72, 
1324 N 56TH ST ,8060.8, 
1324 W LYCOMING ST ,4243.89, 
1326 N MARSTON ST ,40.57, 
1326 S WILTON ST ,2405.1, 
1326 SELLERS ST ,2597.37, 
1326 W LIPPINCOTT ST ,1938.3, 
1326 W WISHART ST ,817.08, 
1326 W WISHART ST ,1938.3, 
1327 N 21ST ST ,1069.22, 
1327 N NEWKIRK ST ,2691.48, 
1327 NARRAGANSETT ST ,7348.67, 
1327 S 17TH ST ,3217.28, 
1327 W CLEMENTINE ST ,248.95, 
1327 W VICTORIA ST ,1340.45, 
1327 W WISHART ST ,2468.62, 
1328 N FRAZIER ST ,13277.55, 
1328 S 54TH ST ,1785.04, 
1328 W CAMBRIA ST ,2159.68, 
1329 N 55TH ST ,5652.98, 
1329 N HOBART ST ,3158.11, 
1329 S 54TH ST ,6869.63, 
1329 W ROOSEVELT BLV ,944.11, 
133 N 58TH ST ,4437.67, 
133 W DURHAM ST ,5525.2, 
133 W TULPEHOCKEN ST ,1215.35, 
1330 DIVINITY ST ,1206.45, 
1330 S 15TH ST ,7857.53, 
1330 S WILTON ST ,1656.29, 
1330 W BOSTON ST ,1181.93, 
1331 S BANCROFT ST ,1026.92, 
1331 S COLORADO ST ,746.71, 
1332 N 29TH ST ,136.85, 
1332 W PIKE ST ,6962.13, 
1333 E MOUNT PLEASANT AVE ,11696.67, 
1333 S 23RD ST ,3608.53, 
1333 W SILVER ST ,3209.96, 
1334 S 52ND ST ,7611.28, 
1334 S PAXON ST ,6312.29, 
1334 W CLEARFIELD ST ,2626.12, 
1334 W JEROME ST ,3000.06, 
1334 WALNUT ST ,0, 
1335 KIMBERLY DR ,13451.1, 
1335 S HOLLYWOOD ST ,2397.34, 
1336 N 26TH ST ,8646.5, 
1337 S WILTON ST ,1076.8, 
1338 S HOLLYWOOD ST ,4615.55, 
1338 S OPAL ST ,1088.43, 
1338 W BOSTON ST ,2170.62, 
1339 N MARSTON ST ,3421.99, 
1339 S 23RD ST ,485.88, 
1339 W 65TH AVE ,33599.52, 
134 E LOUDON ST ,9118.59, 
134 E TULPEHOCKEN ST ,4972.92, 
134 MANHEIM ST ,3162.7, 
134 N 61ST ST ,9582.96, 
134 WRIGHT ST ,4017.75, 
1340 KERBAUGH ST ,5709.34, 
1340 N ALDEN ST ,176.63, 
1340 S COLORADO ST ,1170.8, 
1340 W SILVER ST ,0, 
1341 N 29TH ST ,4129.79, 
1342 E COLUMBIA AVE ,13492.01, 
1343 E SEDGLEY AVE ,4914.54, 
1343 S CORLIES ST ,3524.91, 
1344 S MELVILLE ST ,4507.8, 
1345 FRIENDSHIP ST ,11761.68, 
1345 W SOMERSET ST ,241.61, 
1346 N ALDEN ST ,6375.13, 
1346 W SILVER ST ,1737.31, 
1347 S 07TH ST ,16135.66, 
1348 E WEAVER ST ,12902.32, 
1349 S 20TH ST ,1536.14, 
135 E WASHINGTON LN ,9927.63, 
1350 N 29TH ST ,5591.95, 
1351 W JEROME ST ,1665.22, 
1354 S HARMONY ST ,2005.97, 
1356R UNITY ST ,410.55, 
1357 E LYCOMING ST ,9553.44, 
1360 E HAINES ST ,8309.14, 
1363 BRIDGE ST ,5781.01, 
1363 W SELTZER ST ,6809.74, 
137 N 54TH ST ,9608.15, 
137 S 60TH ST ,3881.17, 
137 S 61ST ST ,101.41, 
138 W LIPPINCOTT ST ,4844.37, 
1382 RIDGE AVE ,2218.79, 
1383 E RITTENHOUSE ST ,9765.63, 
1385 NARRAGANSETT ST ,5047.56, 
139 N SALFORD ST ,4526.69, 
139 S 55TH ST ,835.63, 
139 W LURAY ST ,5491.08, 
139 W POMONA ST ,5111.07, 
139 W YORK ST ,1461.81, 
14 S CONESTOGA ST ,5.07, 
14 S SALFORD ST ,4304.07, 
140 S 60TH ST ,2474.13, 
140 W PRICE ST ,9129.38, 
1400 S 24TH ST ,5699.76, 
1400 S 31ST ST ,3520.34, 
1400 S ALLISON ST ,4533.06, 
1401 REED ST ,727.54, 
1401 S 54TH ST ,662.7, 
1402 N NEWKIRK ST ,3614.16, 
1403 S CHADWICK ST ,3666.33, 
1404 E WEAVER ST ,6360.32, 
1406 POINT BREEZE AVE ,1348.2, 
1407 W PACIFIC ST ,3685.15, 
1409 N 15TH ST ,2795.67, 
1409 N 62ND ST ,12174.64, 
1409 S RINGGOLD ST ,3825.52, 
141 APSLEY ST ,5482.16, 
141 N LINDENWOOD ST ,3230.27, 
141 N RUBY ST ,4132.82, 
1410 N 30TH ST ,4877.52, 
1410 N FRAZIER ST ,0, 
1411 N FRAZIER ST ,0, 
1412 N 29TH ST ,8330.92, 
1412 S TAYLOR ST ,929.29, 
1413 N 30TH ST ,4884.25, 
1413 S 56TH ST ,4774.23, 
1413 S PAXON ST ,5597.6, 
1413 TASKER ST ,2147.83, 
1414 N HOLLYWOOD ST ,2954.59, 
1414 S HICKS ST ,0, 
1415 N ITHAN ST ,4668.57, 
1415 S 53RD ST ,3415.75, 
1415 S 56TH ST ,3319.73, 
1416 N FRAZIER ST ,0, 
1416 N VOGDES ST ,6257.03, 
1416 S 23RD ST ,3405.99, 
1416 S HICKS ST ,0, 
1416 UNITY ST ,5307.1, 
1416 W MAYFIELD ST ,2198.13, 
1417 E LYCOMING ST ,0, 
1417 N DOVER ST ,3044.66, 
1417A LOCUST ST ,44208.94, 
1418 N FRAZIER ST ,0, 
1418 W PACIFIC ST ,3179.44, 
1419 E DUVAL ST ,15761.66, 
1419 W BRISTOL ST ,2969.27, 
142 N WANAMAKER ST ,3672.4, 
142 POLLARD ST ,1017.62, 
1421 S 49TH ST ,506.14, 
1422 N 53RD ST ,7520.98, 
1422 N MYRTLEWOOD ST ,2618.07, 
1422 S 18TH ST ,3954.81, 
1422 S 22ND ST ,5919.93, 
1422 W HUNTING PARK AVE ,10183.59, 
1422 W RUSH ST ,3098.47, 
1423 W OLNEY AVE ,7395.17, 
1424 CLEARVIEW ST ,116651.84, 
1424 N VOGDES ST ,2918.37, 
1424 S RINGGOLD ST ,942.62, 
1425 N 57TH ST ,8865.47, 
1425 POINT BREEZE AVE ,10214.77, 
1425 S NAPA ST ,941.4, 
1426 N FRAZIER ST ,0, 
1426 N NEWKIRK ST ,4404.66, 
1426 W ROCKLAND ST ,1448.94, 
1426 W RUSH ST ,3133.14, 
1427 POINT BREEZE AVE ,3110.23, 
1427 S 19TH ST ,1124.97, 
1427 S NAPA ST ,6527.18, 
1427 W INDIANA AVE ,2358.02, 
1428 N HIRST ST ,8990.25, 
1429 N DOVER ST ,2968.27, 
1429 N LEITHGOW ST ,949.25, 
1429 N PEACH ST ,2908.05, 
1429 S NAPA ST ,1593.19, 
1429 S PAXON ST ,7872.81, 
143 DEARBORN ST ,3461.87, 
143 E WESTMORELAND ST ,9430.58, 
143 N 52ND ST ,7462.06, 
1430 N 28TH ST ,5028.45, 
1431 S CARLISLE ST ,2601.79, 
1431 S PATTON ST ,2918.52, 
1432 N 59TH ST ,8552.58, 
1432 N EDGEWOOD ST ,7666.86, 
1432 S 31ST ST ,2296.14, 
1432 S 58TH ST ,776.95, 
1432 SPARKS ST ,8586.95, 
1433 N REDFIELD ST ,1823.62, 
1433 W INDIANA AVE ,4720.25, 
1434 S 20TH ST ,2887.01, 
1434 S 52ND ST ,0, 
1434 S COLORADO ST ,1420.63, 
1435 N MYRTLEWOOD ST ,1188.76, 
1435 S ALLISON ST ,1766.74, 
1436 S 19TH ST ,1256.67, 
1437 S FALLON ST ,297.84, 
1437 S FALLON ST ,2434.73, 
1438 DICKINSON ST ,7915.63, 
1438 N 30TH ST ,2671.09, 
1438 S 51ST ST ,1170.84, 
1438 S 52ND ST ,3747.1, 
1439 N MYRTLEWOOD ST ,1119.55, 
1440 DICKINSON ST ,2015.62, 
1440 N DOVER ST ,5597.56, 
1442 N PAXON ST ,6276.2, 
1443 S FALLON ST ,2642.64, 
1443 VERNON RD ,5648.4, 
1443 W CAYUGA ST ,4733.2, 
1444 N WANAMAKER ST ,6772.7, 
1444 WINDRIM AVE ,6314.4, 
1445 S FALLON ST ,378.78, 
1447 KERBAUGH ST ,3664.02, 
1448 N 27TH ST ,4290.65, 
1448 N ITHAN ST ,3781.41, 
1448 N MARSTON ST ,449.17, 
1448 S 17TH ST ,1684.92, 
1448 S 21ST ST ,1412.31, 
1449 N 05TH ST ,2673.84, 
1449 S TAYLOR ST ,1404.55, 
145 HANSBERRY ST ,3182.42, 
145 W YORK ST ,171.85, 
1452 N 29TH ST ,8157.49, 
1453 N 07TH ST ,1362.35, 
1453 N MARSTON ST ,1274.86, 
1454 N 29TH ST ,10523.34, 
1455 N HIRST ST ,8855.05, 
1455 S DOVER ST ,0, 
1457 KERBAUGH ST ,1620.38, 
1458 N DOVER ST ,1467.82, 
1459 KERBAUGH ST ,1012.09, 
146 N MILLICK ST ,7110.86, 
146 S 60TH ST ,11174.57, 
146 W YORK ST ,2977.78, 
1464 N 58TH ST ,5906.89, 
1465 N 57TH ST ,5616.99, 
1465 N HOBART ST ,6868.74, 
1467 N 53RD ST ,4597.23, 
147 E ALLEGHENY AVE ,790.74, 
1471 N FRAZIER ST ,3866.45, 
1479 STEVENS ST ,8208.79, 
148 N 58TH ST ,5416.57, 
148 N 60TH ST ,4363.93, 
149 E CUMBERLAND ST ,784.33, 
149 FITZGERALD ST ,7187.17, 
149 W WEAVER ST ,24.01, 
1499 N 53RD ST ,3906.71, 
1499 S CHRISTOPHER COLUMBUS BLV ,9279524.35, 
15 E BRINGHURST ST ,3735.68, 
15 N 53RD ST ,2372.99, 
15 S CONESTOGA ST ,241.29, 
15 SOLAR WAY ,1570.17, 
150 MANHEIM ST ,1444.33, 
150 N DEWEY ST ,4555.66, 
150 N PAXON ST ,8532.23, 
1500 DEAL ST ,1595.75, 
1500 N 08TH ST ,2278.57, 
1500 N 26TH ST ,15669.1, 
1500 N AMERICAN ST ,2596.22, 
1500 S 33RD ST ,6490.52, 
1500 S 49TH ST ,4667.99, 
1500 S LINDENWOOD ST ,6273.63, 
1501 E PASTORIUS ST ,19271.65, 
1501 JOHN F KENNEDY BLV C,12791.66, 
1501 MARKET ST S,571265.02, 
1501 N 62ND ST ,8711.58, 
1501 N BROAD ST ,266116.61, 
1501 N FRAZIER ST ,1126.5, 
1501 PARRISH ST ,2908.37, 
1501 S 26TH ST ,2461.82, 
1501 S 31ST ST ,1603.83, 
1501 W TUCKER ST ,2760.89, 
1501S MARKET ST D,52559.62, 
1502 N FRAZIER ST ,5738.36, 
1503 S RINGGOLD ST ,4902.31, 
1503 WADSWORTH AVE ,0, 
1505 N HOLLYWOOD ST ,5081.68, 
1505 N MYRTLEWOOD ST ,0, 
1505 S LINDENWOOD ST ,6281.83, 
1506 S 05TH ST ,2937.96, 
1506 SWAIN ST ,7521.81, 
1506 W GLENWOOD AVE ,4673.19, 
1507 N 27TH ST ,2000.55, 
1507 W SERGEANT ST ,917.45, 
1508 N 29TH ST ,2180.77, 
1508 N PEACH ST ,5688.82, 
1508 S 52ND ST ,12616.4, 
1509 BELMONT AVE ,5942.11, 
1509 S 21ST ST ,2306.43, 
1509 S 49TH ST ,3838.6, 
1509 S RINGGOLD ST ,258.11, 
1509R S 48TH ST ,4631.62, 
151 MANHEIM ST ,6649.23, 
1510 N 28TH ST ,1999.56, 
1510 W WINGOHOCKING ST ,2031.11, 
1511 S CAPITOL ST ,488.2, 
1512 N BROAD ST ,13475.71, 
1512 S BAMBREY ST ,822.82, 
1513 N 33RD ST ,1698.03, 
1513 W CAYUGA ST ,4291.11, 
1513 W CLEARFIELD ST ,1183.78, 
1514 68TH AVE ,6332.94, 
1514 DICKINSON ST ,15222.53, 
1514 N 62ND ST ,4896.49, 
1514 RUFFNER ST ,349.74, 
1515 ARROTT ST ,3524.89, 
1515 N 55TH ST ,0, 
1515 N FELTON ST ,11330.43, 
1515 S MARSTON ST ,5129.93, 
1515 S WILTON ST ,1714.76, 
